,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value,mfx
1,all,Monthly 4 yr.,mnwk,no,all,All,LPM,(Intercept),-5.88E-05,2.98E-06,-19.71825645,1.50E-86,NA
1.1,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policyTRUE,-2.15E-05,5.02E-07,-42.82331632,0,NA
1.2,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy01,6.35E-05,1.82E-06,34.82073865,1.18E-265,NA
1.3,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy02,4.61E-05,1.79E-06,25.6787605,2.02E-145,NA
1.4,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy03,1.01E-05,1.76E-06,5.747620593,9.05E-09,NA
1.5,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy04,-4.64E-05,1.65E-06,-28.17085446,1.33E-174,NA
1.6,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy05,-4.30E-05,1.54E-06,-27.83708991,1.54E-170,NA
1.7,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy06,-6.02E-05,1.78E-06,-33.83113323,6.88E-251,NA
1.8,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy07,-4.25E-05,1.74E-06,-24.43240401,7.74E-132,NA
1.9,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy08,-6.41E-05,1.70E-06,-37.71035411,3.36081865077058e-311,NA
1.1,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy09,-6.02E-05,1.12E-06,-53.6976275,0,NA
1.11,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy10,-0.000130199,1.39E-06,-93.37173898,0,NA
1.12,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy11,-6.30E-05,1.70E-06,-37.0113391,7.52E-300,NA
1.13,all,Monthly 4 yr.,mnwk,no,all,All,LPM,policy_monthpolicy12,-2.62E-05,1.69E-06,-15.56307106,1.30E-54,NA
1.14,all,Monthly 4 yr.,mnwk,no,all,All,LPM,age_grp16-19,0.000436028,3.35E-06,130.186747,0,NA
1.15,all,Monthly 4 yr.,mnwk,no,all,All,LPM,age_grp20-24,0.000346016,3.02E-06,114.5162594,0,NA
1.16,all,Monthly 4 yr.,mnwk,no,all,All,LPM,age_grp25-34,0.000227682,2.90E-06,78.53458592,0,NA
1.17,all,Monthly 4 yr.,mnwk,no,all,All,LPM,age_grp35-44,0.00018561,2.89E-06,64.27619534,0,NA
1.18,all,Monthly 4 yr.,mnwk,no,all,All,LPM,age_grp45-54,0.000139667,2.88E-06,48.52456061,0,NA
1.19,all,Monthly 4 yr.,mnwk,no,all,All,LPM,age_grp55-64,9.03E-05,2.88E-06,31.34658067,1.08E-215,NA
1.2,all,Monthly 4 yr.,mnwk,no,all,All,LPM,age_grp65-199,2.83E-05,2.88E-06,9.84107043,7.49E-23,NA
1.21,all,Monthly 4 yr.,mnwk,no,all,All,LPM,curr_pts_grp1-3,0.000567637,8.44E-07,672.5096319,0,NA
1.22,all,Monthly 4 yr.,mnwk,no,all,All,LPM,curr_pts_grp4-6,0.001152581,2.02E-06,570.6943429,0,NA
1.23,all,Monthly 4 yr.,mnwk,no,all,All,LPM,curr_pts_grp7-9,0.001637609,3.92E-06,417.613036,0,NA
1.24,all,Monthly 4 yr.,mnwk,no,all,All,LPM,curr_pts_grp10-150,0.002272084,5.60E-06,405.9490438,0,NA
1.25,all,Monthly 4 yr.,mnwk,no,all,All,LPM,month02,5.95E-05,1.19E-06,50.15721422,0,NA
1.26,all,Monthly 4 yr.,mnwk,no,all,All,LPM,month03,6.69E-05,1.16E-06,57.61546925,0,NA
1.27,all,Monthly 4 yr.,mnwk,no,all,All,LPM,month04,3.69E-05,1.15E-06,32.10620597,3.61E-226,NA
1.28,all,Monthly 4 yr.,mnwk,no,all,All,LPM,month05,5.33E-05,1.15E-06,46.2685602,0,NA
