"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"7.3","high","4 yr.","mnwk","no","3","Male","LPM","age_grp20-24",0.000491359522645233,4.34761007786229e-05,11.3018305194203,1.28511509506163e-29,NA,NA
"7.4","high","4 yr.","mnwk","no","3","Male","LPM","age_grp25-34",0.000454394795981431,4.34288723162104e-05,10.4629655744439,1.27792567299058e-25,NA,NA
"7.5","high","4 yr.","mnwk","no","3","Male","LPM","age_grp35-44",0.000405958046300605,4.34306720355847e-05,9.34726605123645,8.99426796284542e-21,NA,NA
"7.6","high","4 yr.","mnwk","no","3","Male","LPM","age_grp45-54",0.000372301459262383,4.34335623921368e-05,8.57174587479346,1.01927971709837e-17,NA,NA
"7.7","high","4 yr.","mnwk","no","3","Male","LPM","age_grp55-64",0.000330195310916737,4.34501467083044e-05,7.59940612245686,2.97493077423545e-14,NA,NA
"7.8","high","4 yr.","mnwk","no","3","Male","LPM","age_grp65-199",0.000283512773488095,4.34805004032564e-05,6.52045792616643,7.00931032424261e-11,NA,NA
"7.9","high","4 yr.","mnwk","no","3","Male","LPM","curr_pts_grp1-3",0.000227900842678714,1.63494848378452e-06,139.393286662573,0,NA,NA
"7.10","high","4 yr.","mnwk","no","3","Male","LPM","curr_pts_grp4-6",0.000443090684408496,2.27023943674508e-06,195.17354744034,0,NA,NA
"7.11","high","4 yr.","mnwk","no","3","Male","LPM","curr_pts_grp7-9",0.000642520288077836,3.37595708300355e-06,190.322409995269,0,NA,NA
"7.12","high","4 yr.","mnwk","no","3","Male","LPM","curr_pts_grp10-150",0.00104509627553344,4.66611992188032e-06,223.975442772653,0,NA,NA
"7.13","high","4 yr.","mnwk","no","3","Male","LPM","month02",6.00885759818124e-05,3.71968647995898e-06,16.1542044754468,1.0608019712819e-58,NA,NA
"7.14","high","4 yr.","mnwk","no","3","Male","LPM","month03",6.13053286667065e-05,3.62288061934446e-06,16.9217081952315,3.11277078228029e-64,NA,NA
"7.15","high","4 yr.","mnwk","no","3","Male","LPM","month04",5.98738935330524e-05,3.68423536704367e-06,16.2513758129131,2.18411689405724e-59,NA,NA
"7.16","high","4 yr.","mnwk","no","3","Male","LPM","month05",7.32529429596171e-05,3.67360805903526e-06,19.9403261813549,1.81882803701068e-88,NA,NA
"7.17","high","4 yr.","mnwk","no","3","Male","LPM","month06",8.67761988675035e-05,3.72378009883932e-06,23.303255445871,4.10915249697921e-120,NA,NA
"7.18","high","4 yr.","mnwk","no","3","Male","LPM","month07",8.21243898964091e-05,3.68151455440882e-06,22.3072294520907,3.14395959275954e-110,NA,NA
"7.19","high","4 yr.","mnwk","no","3","Male","LPM","month08",2.61219665275253e-05,3.57715481606444e-06,7.30244226786485,2.825908033827e-13,NA,NA
"7.20","high","4 yr.","mnwk","no","3","Male","LPM","month09",0.000120433621511312,3.77251408708724e-06,31.9239686668205,1.24202509775391e-223,NA,NA
"7.21","high","4 yr.","mnwk","no","3","Male","LPM","month10",0.00011084049291756,3.72410176645788e-06,29.7630139745038,1.17708086543134e-194,NA,NA
"7.22","high","4 yr.","mnwk","no","3","Male","LPM","month11",9.86320756666634e-05,3.72874824615215e-06,26.4517927077662,3.47999007714281e-154,NA,NA
"7.23","high","4 yr.","mnwk","no","3","Male","LPM","month12",-0.000196312028263927,3.14607895336217e-06,-62.398951575621,0,NA,NA
"7.24","high","4 yr.","mnwk","no","3","Male","LPM","weekdayMonday",0.00016959077293237,2.64386629336021e-06,64.1449884808013,0,NA,NA
"7.25","high","4 yr.","mnwk","no","3","Male","LPM","weekdayTuesday",0.000225950354379696,2.72169023925326e-06,83.0183946435025,0,NA,NA
"7.26","high","4 yr.","mnwk","no","3","Male","LPM","weekdayWednesday",0.000267617559440369,2.77853030590402e-06,96.3162283570261,0,NA,NA
"7.27","high","4 yr.","mnwk","no","3","Male","LPM","weekdayThursday",0.000238719113583903,2.74558558765532e-06,86.946520500847,0,NA,NA
"7.28","high","4 yr.","mnwk","no","3","Male","LPM","weekdayFriday",0.000187253652079777,2.67364347727579e-06,70.0368817575381,0,NA,NA
"7.29","high","4 yr.","mnwk","no","3","Male","LPM","weekdaySaturday",3.95159269534268e-05,2.44988590452596e-06,16.1297009303267,1.57785561986316e-58,NA,NA
"8","high","4 yr.","mnwk","with","3","Male","LPM","(Intercept)",-0.000160278141607934,5.35302738709646e-05,-2.99415881925592,0.00275202659054447,NA,NA
"8.1","high","4 yr.","mnwk","with","3","Male","LPM","policyTRUE",-0.000628876636032407,5.34434536526932e-05,-11.7671406514859,5.76456878375096e-32,NA,NA
"8.2","high","4 yr.","mnwk","with","3","Male","LPM","age_grp16-19",0.000702007432158949,5.44397888349585e-05,12.8951167368995,4.79540078851532e-38,NA,NA
"8.3","high","4 yr.","mnwk","with","3","Male","LPM","age_grp20-24",0.000510890442212674,5.35790491288852e-05,9.5352651926263,1.49503311025567e-21,NA,NA
"8.4","high","4 yr.","mnwk","with","3","Male","LPM","age_grp25-34",0.000374857173577743,5.348743081275e-05,7.0083226635067,2.41192235473334e-12,NA,NA
"8.5","high","4 yr.","mnwk","with","3","Male","LPM","age_grp35-44",0.000314046640082538,5.34921356635248e-05,5.87089365917167,4.33452393515737e-09,NA,NA
"8.6","high","4 yr.","mnwk","with","3","Male","LPM","age_grp45-54",0.000277638847123887,5.35013039351984e-05,5.1893846822905,2.10990163729063e-07,NA,NA
"8.7","high","4 yr.","mnwk","with","3","Male","LPM","age_grp55-64",0.00022019789824761,5.35358164233263e-05,4.11309498871612,3.90389689422048e-05,NA,NA
"8.8","high","4 yr.","mnwk","with","3","Male","LPM","age_grp65-199",0.000149490748163588,5.36072509462321e-05,2.78862925303755,0.00529316222042225,NA,NA
"8.9","high","4 yr.","mnwk","with","3","Male","LPM","curr_pts_grp1-3",0.000224950346248493,1.63645408038755e-06,137.46205832749,0,NA,NA
"8.10","high","4 yr.","mnwk","with","3","Male","LPM","curr_pts_grp4-6",0.00044110527922107,2.27067335568355e-06,194.261881884936,0,NA,NA
"8.11","high","4 yr.","mnwk","with","3","Male","LPM","curr_pts_grp7-9",0.000642754809302113,3.37534600630584e-06,190.426346840092,0,NA,NA
"8.12","high","4 yr.","mnwk","with","3","Male","LPM","curr_pts_grp10-150",0.00105061844630256,4.66607615914347e-06,225.1610154806,0,NA,NA
"8.13","high","4 yr.","mnwk","with","3","Male","LPM","month02",5.99729838756018e-05,3.71967732688329e-06,16.123168384031,1.75385355736778e-58,NA,NA
"8.14","high","4 yr.","mnwk","with","3","Male","LPM","month03",6.10336465280456e-05,3.62287457140327e-06,16.8467456780887,1.10851480804818e-63,NA,NA
"8.15","high","4 yr.","mnwk","with","3","Male","LPM","month04",6.1694147030629e-05,3.68437408702572e-06,16.7448108073175,6.17879258077645e-63,NA,NA
"8.16","high","4 yr.","mnwk","with","3","Male","LPM","month05",7.48402604086453e-05,3.67380583516449e-06,20.3713162226208,3.00506337270505e-92,NA,NA
"8.17","high","4 yr.","mnwk","with","3","Male","LPM","month06",8.81196942129521e-05,3.72402049115683e-06,23.6625159346474,8.7744590335632e-124,NA,NA
"8.18","high","4 yr.","mnwk","with","3","Male","LPM","month07",8.32127470036452e-05,3.68173441274039e-06,22.6015072449803,4.18859631549395e-113,NA,NA
"8.19","high","4 yr.","mnwk","with","3","Male","LPM","month08",2.69764161777153e-05,3.57730566596073e-06,7.54098718328853,4.6642738590912e-14,NA,NA
"8.20","high","4 yr.","mnwk","with","3","Male","LPM","month09",0.000121062277151092,3.7726460879471e-06,32.0894868823937,6.18202927094045e-226,NA,NA
"8.21","high","4 yr.","mnwk","with","3","Male","LPM","month10",0.000111256814426701,3.72417672181344e-06,29.8742038139709,4.25870041515256e-196,NA,NA
"8.22","high","4 yr.","mnwk","with","3","Male","LPM","month11",9.88662164557142e-05,3.72878300563858e-06,26.5143389428162,6.62496229251309e-155,NA,NA
"8.23","high","4 yr.","mnwk","with","3","Male","LPM","month12",-0.000196197914010069,3.1460728961323e-06,-62.3627997467158,0,NA,NA
"8.24","high","4 yr.","mnwk","with","3","Male","LPM","weekdayMonday",0.000169590411278332,2.64385729815705e-06,64.1450699311755,0,NA,NA
"8.25","high","4 yr.","mnwk","with","3","Male","LPM","weekdayTuesday",0.000225962180308619,2.72168106568651e-06,83.0230195438505,0,NA,NA
"8.26","high","4 yr.","mnwk","with","3","Male","LPM","weekdayWednesday",0.000267617462563168,2.77852072762321e-06,96.3165255175519,0,NA,NA
"8.27","high","4 yr.","mnwk","with","3","Male","LPM","weekdayThursday",0.000238744678509335,2.74557702887884e-06,86.9561028512926,0,NA,NA
"8.28","high","4 yr.","mnwk","with","3","Male","LPM","weekdayFriday",0.000187278438507724,2.67363456025701e-06,70.0463860288076,0,NA,NA
"8.29","high","4 yr.","mnwk","with","3","Male","LPM","weekdaySaturday",3.95261693817063e-05,2.44987561574868e-06,16.1339494656863,1.47295227174933e-58,NA,NA
"8.30","high","4 yr.","mnwk","with","3","Male","LPM","policyTRUE:age_grp16-19",-0.000423063579902802,5.50752408747381e-05,-7.6815565975464,1.57167167389159e-14,NA,NA
"8.31","high","4 yr.","mnwk","with","3","Male","LPM","policyTRUE:age_grp20-24",0.000178548009977513,5.36764249083008e-05,3.32637671533712,0.000879829343481758,NA,NA
"8.32","high","4 yr.","mnwk","with","3","Male","LPM","policyTRUE:age_grp25-34",0.000397304324233277,5.35245195109184e-05,7.42284709631501,1.14629183642985e-13,NA,NA
"8.33","high","4 yr.","mnwk","with","3","Male","LPM","policyTRUE:age_grp35-44",0.00042244504027989,5.35362723380206e-05,7.89081909948139,3.00209882106785e-15,NA,NA
"8.34","high","4 yr.","mnwk","with","3","Male","LPM","policyTRUE:age_grp45-54",0.000426424068330429,5.35478777264578e-05,7.96341678579232,1.67352760585586e-15,NA,NA
"8.35","high","4 yr.","mnwk","with","3","Male","LPM","policyTRUE:age_grp55-64",0.000454854536587103,5.35992973215256e-05,8.48620335185687,2.13498018716755e-17,NA,NA
"8.36","high","4 yr.","mnwk","with","3","Male","LPM","policyTRUE:age_grp65-199",0.00049452760511521,5.3695748067077e-05,9.20980939677837,3.26705188516038e-20,NA,NA
"9","high","4 yr.","mnwk","no","4","Male","LPM","(Intercept)",8.46453523407618e-05,2.12809568889001e-05,3.97751627347697,6.96388635398129e-05,NA,NA
"9.1","high","4 yr.","mnwk","no","4","Male","LPM","policyTRUE",-8.44538813216032e-06,2.04648997758234e-07,-41.2676740402972,0,NA,NA
"9.2","high","4 yr.","mnwk","no","4","Male","LPM","age_grp16-19",4.92669287936698e-05,2.14917379296661e-05,2.2923659759346,0.0218845338675822,NA,NA
"9.3","high","4 yr.","mnwk","no","4","Male","LPM","age_grp20-24",-6.1921678068823e-05,2.12846510695856e-05,-2.90921743872538,0.00362334765269078,NA,NA
"9.4","high","4 yr.","mnwk","no","4","Male","LPM","age_grp25-34",-7.72193837189306e-05,2.1279053835217e-05,-3.62889178799537,0.000284640531218491,NA,NA
"9.5","high","4 yr.","mnwk","no","4","Male","LPM","age_grp35-44",-8.20316248903226e-05,2.1278209984308e-05,-3.85519387912884,0.00011563795623989,NA,NA
"9.6","high","4 yr.","mnwk","no","4","Male","LPM","age_grp45-54",-8.36985615048854e-05,2.12778007636123e-05,-3.93360960724947,8.36796601677042e-05,NA,NA
"9.7","high","4 yr.","mnwk","no","4","Male","LPM","age_grp55-64",-8.40208728244396e-05,2.12780282670008e-05,-3.94871516148628,7.85717815076763e-05,NA,NA
"9.8","high","4 yr.","mnwk","no","4","Male","LPM","age_grp65-199",-8.3731854060489e-05,2.12787775964724e-05,-3.93499361891776,8.31989127015227e-05,NA,NA
"9.9","high","4 yr.","mnwk","no","4","Male","LPM","curr_pts_grp1-3",1.87257800410733e-06,2.10198586010365e-07,8.90861370501793,5.16747113736982e-19,NA,NA
"9.10","high","4 yr.","mnwk","no","4","Male","LPM","curr_pts_grp4-6",4.17685035928465e-06,2.95951028781941e-07,14.1133158971452,3.14441613402794e-45,NA,NA
"9.11","high","4 yr.","mnwk","no","4","Male","LPM","curr_pts_grp7-9",9.79605917392161e-06,4.95529884144272e-07,19.7688565056745,5.52155319954476e-87,NA,NA
"9.12","high","4 yr.","mnwk","no","4","Male","LPM","curr_pts_grp10-150",3.27041806472737e-05,8.34117668274088e-07,39.2081140241802,0,NA,NA
"9.13","high","4 yr.","mnwk","no","4","Male","LPM","month02",5.52609620152027e-07,4.58221894547802e-07,1.20598693935691,0.227822526688457,NA,NA
"9.14","high","4 yr.","mnwk","no","4","Male","LPM","month03",1.21725525267802e-06,4.53070657887825e-07,2.68667862613914,0.00721663512147327,NA,NA
"9.15","high","4 yr.","mnwk","no","4","Male","LPM","month04",3.31112170480085e-06,5.00584455452207e-07,6.61451163482437,3.72780542317922e-11,NA,NA
"9.16","high","4 yr.","mnwk","no","4","Male","LPM","month05",4.93168077141859e-06,5.14696162105376e-07,9.58173216455595,9.54310293355822e-22,NA,NA
"9.17","high","4 yr.","mnwk","no","4","Male","LPM","month06",5.6409773453449e-06,5.27201506112711e-07,10.6998505883231,1.01942828042166e-26,NA,NA
"9.18","high","4 yr.","mnwk","no","4","Male","LPM","month07",6.22266965486247e-06,5.2700406885971e-07,11.8076311409257,3.5646507510064e-32,NA,NA
"9.19","high","4 yr.","mnwk","no","4","Male","LPM","month08",5.7632492338097e-06,5.21272990854918e-07,11.0561056009398,2.04798658329732e-28,NA,NA
"9.20","high","4 yr.","mnwk","no","4","Male","LPM","month09",4.96069854871096e-06,5.15514303439715e-07,9.62281456714434,6.4054167229408e-22,NA,NA
"9.21","high","4 yr.","mnwk","no","4","Male","LPM","month10",4.04750034578248e-06,4.97783554639807e-07,8.13104472427023,4.25606788799179e-16,NA,NA
"9.22","high","4 yr.","mnwk","no","4","Male","LPM","month11",2.5627451554129e-06,4.8287063659052e-07,5.30731206500372,1.1125364146973e-07,NA,NA
"9.23","high","4 yr.","mnwk","no","4","Male","LPM","month12",-4.36968498506184e-08,4.41612408763008e-07,-0.0989484194364391,0.921179224378172,NA,NA
"9.24","high","4 yr.","mnwk","no","4","Male","LPM","weekdayMonday",-2.53145017886953e-06,3.92170794828265e-07,-6.45496863165978,1.08241374145945e-10,NA,NA
"9.25","high","4 yr.","mnwk","no","4","Male","LPM","weekdayTuesday",-1.68664285038693e-06,3.99783741171738e-07,-4.21888805543592,2.45510148889283e-05,NA,NA
"9.26","high","4 yr.","mnwk","no","4","Male","LPM","weekdayWednesday",-1.23085222426597e-06,4.04094368102504e-07,-3.04595243444163,0.00231944531637092,NA,NA
"9.27","high","4 yr.","mnwk","no","4","Male","LPM","weekdayThursday",-4.99248171745713e-07,4.11878896359533e-07,-1.21212369985063,0.225465033173665,NA,NA
"9.28","high","4 yr.","mnwk","no","4","Male","LPM","weekdayFriday",1.70419890331492e-06,4.31710711483754e-07,3.94754834193881,7.89555845988066e-05,NA,NA
"9.29","high","4 yr.","mnwk","no","4","Male","LPM","weekdaySaturday",1.96455963558607e-06,4.3358099885411e-07,4.53100952481338,5.87024988759699e-06,NA,NA
"10","high","4 yr.","mnwk","with","4","Male","LPM","(Intercept)",0.000105344732112027,2.62032602628654e-05,4.02029102696503,5.81262950157559e-05,NA,NA
"10.1","high","4 yr.","mnwk","with","4","Male","LPM","policyTRUE",-0.000118345153572675,2.61983124208229e-05,-4.51728155889204,6.26385997330439e-06,NA,NA
"10.2","high","4 yr.","mnwk","with","4","Male","LPM","age_grp16-19",6.58868939981323e-05,2.65072270534505e-05,2.48562001092286,0.0129325975213865,NA,NA
"10.3","high","4 yr.","mnwk","with","4","Male","LPM","age_grp20-24",-7.50046433259474e-05,2.62160421742118e-05,-2.86102085232865,0.00422279286027916,NA,NA
"10.4","high","4 yr.","mnwk","with","4","Male","LPM","age_grp25-34",-9.86828173467271e-05,2.6205319244407e-05,-3.76575520513031,0.000166046429821395,NA,NA
"10.5","high","4 yr.","mnwk","with","4","Male","LPM","age_grp35-44",-0.000105026686822092,2.62041240062093e-05,-4.00802128692434,6.12296073445623e-05,NA,NA
